Texto,Categoría
"El 20 de julio de 1969, la misión Apollo 11 de la NASA logró el primer alunizaje exitoso, marcando un hito histórico en la exploración espacial. Los astronautas Neil Armstrong y Buzz Aldrin se convirtieron en los primeros seres humanos en pisar la superficie lunar, mientras que Michael Collins permanecía en órbita lunar a bordo del Módulo de Comando. El momento en que Neil Armstrong descendió del Módulo Lunar y pronunció las famosas palabras, ""Es un pequeño paso para el hombre, un gran salto para la humanidad"", fue transmitido en vivo y presenciado por millones de personas alrededor del mundo. Este evento no solo demostró las capacidades tecnológicas y la innovación humana, sino que también simbolizó una victoria significativa en la carrera espacial entre Estados Unidos y la Unión Soviética durante la Guerra Fría. El alunizaje inspiró a generaciones futuras de científicos, ingenieros y público en general sobre las posibilidades de la exploración espacial y el descubrimiento científico.",Eventos
"La Revolución Francesa fue un período de agitación social y política en Francia y sus colonias que duró desde 1789 hasta 1799. Este evento histórico marcó el fin de la monarquía, la ascensión de Napoleón Bonaparte y cambios significativos en la estructura social y política del país. La revolución fue impulsada por el descontento popular hacia la monarquía absoluta, la desigualdad social y económica, y las ideas ilustradas de libertad, igualdad y fraternidad. Durante este período, se llevaron a cabo importantes reformas legislativas, se enfrentaron facciones rivales y se ejecutaron a muchos en la guillotina, incluyendo al rey Luis XVI y a la reina María Antonieta. La Revolución Francesa tuvo un impacto duradero en la historia mundial, inspirando revoluciones y movimientos por la libertad y la democracia en todo el mundo.
",Eventos
"Alemania, oficialmente República Federal de Alemania, es un país soberano centroeuropeo, miembro de la Unión Europea, constituido en Estado social y democrático de derecho y cuya forma de gobierno es la república parlamentaria y federal. Su capital es Berlín. Está formado por dieciséis estados federados (Bundesländer) y limita al norte con el mar del Norte, Dinamarca y el mar Báltico; al este con Polonia y la República Checa; al sur con Austria y Suiza; y al oeste con Francia, Luxemburgo, Bélgica y los Países Bajos. La ciudad de Büsingen am Hochrhein, enclavada en Suiza, también forma parte de Alemania. El territorio de Alemania abarca 357,022 km² de extensión y posee un clima templado. Con casi 83 millones de habitantes, es el país más poblado entre los estados miembros de la Unión Europea, y es el hogar del tercer mayor grupo de emigrantes internacionales. Después de Estados Unidos, Alemania es el segundo destino de las migraciones más popular en el mundo.
Las palabras alemán y Alemania provienen del latín y eran utilizadas en la antigüedad por los romanos para denominar a los alamanes (no es lo mismo que alemanes), el pueblo germánico más cercano al territorio del Imperio romano. De ahí fue usada para nombrar al país entero.​ Además de alemán, está también extendido el uso del gentilicio germano, derivado del nombre con que los romanos se referían a las tribus ni romanas ni celtas de la zona central de Europa, cuyo territorio llamaban Germania. Desde el siglo X, los territorios alemanes formaron una parte central del Sacro Imperio Romano Germánico que duró hasta 1806. Durante el siglo XVI, las regiones del norte del país se convirtieron en el centro de la Reforma Protestante.
Como un moderno Estado nación, el país fue unificado en tiempos de la guerra franco-prusiana, en 1871. Tras la Segunda Guerra Mundial, cuando la Alemania nazi fue derrotada por los aliados, Alemania fue dividida en dos Estados separados a lo largo de las líneas de ocupación aliadas en 1949; los Estados resultantes fueron la República Federal de Alemania y la República Democrática Alemana, que se reunificaron en 1990. Fue miembro fundador de la Comunidad Europea (1957), que se convirtió en la Unión Europea en 1993. Es parte de la zona Schengen y adoptó la moneda común europea, el euro, en 1999.
Alemania es miembro de la Organización de las Naciones Unidas, la OTAN, el G7, las naciones G4, y firmó el Protocolo de Kioto. Es la cuarta mayor economía mundial en cuanto al PIB nominal, la primera de Europa, y fue el mayor exportador de mercancías del mundo en 2007. En términos absolutos, asigna el tercer mayor presupuesto anual de la ayuda al desarrollo en el mundo, mientras que sus gastos militares ocuparon el noveno lugar mundial en 2012.​ El país ha desarrollado un alto nivel de vida y establecido un sistema completo de seguridad social. Tiene una posición clave en los asuntos europeos y mantiene una estrecha relación con varias asociaciones a nivel mundial. Es reconocida como líder en los sectores científico y tecnológico. Alemania es el país más contaminante de Europa.",Lugares
"Australia, oficialmente Mancomunidad de Australia, es un país soberano de Oceanía, cuya forma de gobierno es la monarquía constitucional federal parlamentaria.
El país ocupa la principal masa continental de la plataforma llamada Sahul, además de algunas islas en los océanos Pacífico, Índico y Antártico. Los países más cercanos a Australia son Indonesia, Timor Oriental y Papúa Nueva Guinea al norte, las Islas Salomón, Vanuatu y la dependencia francesa de Nueva Caledonia al noreste, y Nueva Zelanda al sureste. Australia es el sexto país más grande del mundo con una superficie de 7 741 220 km².​ Su capital, Canberra, se encuentra en el Territorio de la Capital Australiana. La población del país en 2011 era de unos 21,5 millones de habitantes, concentrados principalmente en las grandes ciudades costeras: Sídney, Melbourne, Brisbane, Perth, Adelaida y la capital Canberra.
Australia ha estado habitada desde hace por lo menos cuarenta y seis mil años por los aborígenes australianos. Su descubrimiento se habría producido tras las esporádicas visitas de españoles y portugueses que exploraron la costa septentrional y occidental de Australia, aunque sin avanzar hacia el interior por el escaso número de exploradores. Las exploraciones iniciadas en el siglo XVII fueron continuadas por pescadores neerlandeses, exploradores y comerciantes europeos. Hasta ahora se sostiene que el primero en desembarcar en las costas orientales fue el navegante británico James Cook, que llegó en 1769 a Nueva Zelanda y en 1770 a tierras australianas. Debido a ello, la mitad oriental del continente fue reclamada por Gran Bretaña en 1770, y en 1788 se estableció una colonia penal en Nueva Gales del Sur. Debido al asentamiento de colonos, a su crecimiento demográfico y a la exploración de nuevas áreas, durante el siglo XIX se establecieron otras cinco colonias británicas más. El 1 de enero de 1901, las seis colonias se federaron formando la Confederación de Australia. Desde su institución ha mantenido un sistema político democrático liberal y ha continuado siendo una monarquía dentro de la Comunidad Británica de Naciones.
En la división convencional en continentes, Australia se engloba en Oceanía, que agrupa también las islas del Pacífico. Sin embargo, los anglohablantes suelen hablar del «continente australiano» sin que Australia, desde un punto de vista geológico, constituya un continente. Nueva Zelanda y las islas adyacentes tampoco conforman un continente con Australia al no pertenecer a la plataforma Sahul, sino que se suelen asociar con esta por cercanía histórica y política.",Lugares
"Canadá (Canada) es un país soberano de América del Norte, cuya forma de gobierno es la monarquía parlamentaria federal. Su territorio está organizado en diez provincias y tres territorios. Su capital es la ciudad de Ottawa y la ciudad más poblada es Toronto.
Ubicado en el extremo norte del subcontinente norteamericano, se extiende desde el océano Atlántico al este, el océano Pacífico al oeste, y hacia el norte hasta el océano Ártico. Comparte frontera con los Estados Unidos al sur, y al noroeste con su estado federado Alaska. Es el segundo país más extenso del mundo después de Rusia, y también el más septentrional. Ocupa cerca de la mitad del territorio de Norteamérica. A causa de su clima, es uno de los 15 países con menor densidad poblacional del mundo, con aproximadamente 4 habitantes por kilómetro cuadrado.​
El territorio ocupado por Canadá fue habitado por los diversos grupos de población aborigen durante milenios. Desde finales del siglo XV, numerosas expediciones británicas y francesas exploraron a lo largo de la costa atlántica, donde más tarde se establecieron. Francia cedió casi todas sus colonias norteamericanas en 1763 después de la Guerra Franco-india.
En 1867, con la unión de tres colonias británicas norteamericanas mediante la Confederación, Canadá se formó como un dominio federal de cuatro provincias. Esto hizo que comenzara una acumulación de provincias y territorios, y un proceso de autonomía frente al Reino Unido. Esta autonomía cada vez mayor se puso de relieve en el Estatuto de Westminster de 1931 y culminó en el Acta de Constitución de Canadá de 1982, que rompió los vestigios de la dependencia jurídica en el parlamento británico.​ Está gobernada como una democracia parlamentaria y monarquía constitucional con Isabel II como jefe de Estado. Es una nación bilingüe con el inglés y el francés como lenguas oficiales en el ámbito federal.
Canadá es una nación industrial y tecnológicamente pionera y avanzada, ampliamente autosuficiente en energía gracias a sus relativamente extensos depósitos de combustibles fósiles y a la amplia generación de energía nuclear y energía hidroeléctrica. Siendo uno de los países más desarrollados, tiene una economía diversificada, que la hace independiente por sus grandes yacimientos y abundantes recursos naturales así como del comercio, particularmente con los Estados Unidos y México. En la actualidad es miembro de la OEA, el G-8, el G-20, la OTAN, la OCDE, la OMC, la UKUSA, la APEC, la Mancomunidad de Naciones, la Francofonía y de la Organización de las Naciones Unidas. Es considerado uno de los países con mejor calidad de vida.",Lugares
"Inglaterra (en inglés, England) es una de las cuatro naciones constituyentes del Reino Unido. Su territorio está formado geográficamente por la parte sur y central de Gran Bretaña, isla que comparte junto a Escocia y Gales, y cerca de 100 islas más pequeñas como las islas Sorlingas y la isla de Wight. Limita al norte con Escocia, al oeste con Gales —sus dos fronteras terrestres—, al noroeste con el mar de Irlanda, al suroeste con el mar Celta, al este con el mar del Norte y al sur con el canal de la Mancha. Inglaterra asume el 84 % de la población y el 85 % del PIB del Reino Unido.
El territorio actual de Inglaterra ha estado habitado por varias culturas desde hace cerca de 35000 años, pero toma su nombre de los anglos, uno de los pueblos germánicos que se establecieron en el lugar durante los siglos V y VI. Se convirtió en un estado unificado en el año 927 y desde la era de los descubrimientos, que comenzó en el siglo XV, ha tenido un gran impacto cultural y legal en todo el mundo. El idioma inglés, la Iglesia anglicana y el Derecho de Inglaterra —tomado como base para el sistema jurídico de muchos otros países del mundo— se desarrollaron en Inglaterra, y el sistema parlamentario de gobierno ha sido ampliamente adoptado por otras naciones.
El Reino de Inglaterra —que desde 1284 también incluía a Gales— fue un estado independiente hasta 1707, fecha en la que se firmó el Acta de Unión con Escocia, para crear el Reino de Gran Bretaña. En 1801 el Reino de Irlanda se unió al Reino de Gran Bretaña creando así el Reino Unido de Gran Bretaña e Irlanda hasta 1922. Con la independencia y partición de Irlanda desde entonces es el Reino Unido de Gran Bretaña e Irlanda del Norte.",Lugares
"Japón (Nihon o Nippon), oficialmente Estado del Japón (Acerca de este sonido Nihon-koku o Nippon-koku), es un país soberano insular del este de Asia. Situado en el océano Pacífico; tiene al oeste el mar del Japón, China, Corea del Norte, Corea del Sur y Rusia, al norte el mar de Ojotsk y al este y sur el mar de China Oriental y Taiwán. Los caracteres que componen el nombre de Japón pueden significar «el origen del sol» o «la base del sol», motivo por el que el país también es conocido como la Tierra del Sol Naciente, ya que desde la perspectiva de China, el sol sale desde Japón. No tiene ningún idioma oficial hasta la fecha, ya que el japonés se considera un idioma nacional en dicho país, término que no se debe confundir con el anteriormente dicho.
Japón es un archipiélago compuesto por 6852 islas. El Área del Gran Tokio en la isla de Honshū, donde está la ciudad de Tokio, capital de facto de la nación, es la mayor área metropolitana del mundo, con más de treinta millones de residentes. Y a su vez, Tokio, la capital, es la ciudad más grande del mundo en cuanto a extensión.
Los restos arqueológicos indican que el ser humano ha vivido en Japón desde el Paleolítico superior. La primera mención escrita de las islas se encuentra en textos de la antigua China del siglo I d. C. La historia de Japón ha alternado periodos de influencia extranjera con otros muy prolongados de aislamiento total. Desde el siglo XII hasta 1868 Japón estuvo gobernado por sucesivos shogunatos militares que ejercían el poder en nombre del emperador. En el siglo XVII el país entró en un largo periodo de aislamiento que no terminó hasta mediados del siglo XIX. Después de casi dos décadas de conflictos internos e insurrecciones se restauró al emperador Meiji como jefe del Estado en 1868 y se proclamó el Imperio del Japón.

A finales del siglo XIX y principios del XX, los éxitos en la primera guerra sino-japonesa, en la guerra ruso-japonesa y en la Primera Guerra Mundial permitieron a Japón expandir su imperio y fortalecer sus fuerzas armadas. La segunda guerra sino-japonesa que se inició en 1937, acabó formando parte de la Segunda Guerra Mundial desde 1941, conflictos que terminaron tras la rendición de Japón debido a los bombardeos atómicos sobre Hiroshima y Nagasaki en 1945. Desde la adopción de la constitución revisada en 1947, Japón ha mantenido una monarquía constitucional unitaria con un emperador y un órgano de gobierno democrático llamado Dieta.
Japón es desde hace varias décadas una de las grandes potencias económicas mundiales, y en la actualidad es la tercera mayor economía de acuerdo a su PIB. Asimismo, es el cuarto mayor exportador e importador de mercancías. Aunque Japón renunció oficialmente a su derecho a declarar la guerra tras la Segunda Guerra Mundial, posee unas modernas fuerzas armadas y el quinto mayor presupuesto militar mundial​ para su autodefensa y el mantenimiento de la paz.
Es miembro de la Organización de las Naciones Unidas, el G7, el G4 y la APEC. Japón es el segundo país con la menor tasa de homicidios, solo por detrás de Singapur, las mujeres japonesas tienen la segunda mayor esperanza de vida​ y, según la ONU, el país presenta la tercera menor mortalidad infantil del mundo.",Lugares
"México (Acerca de este sonido [ˈmexiko]), oficialmente Estados Unidos Mexicanos, es un país soberano ubicado en la parte meridional de América del Norte con capital en la Ciudad de México. Políticamente es una república representativa, democrática, federal y laica, compuesta por 32 entidades federativas (31 estados y la capital federal).
El territorio mexicano tiene una superficie de 1 964 375 km², por lo que es el decimotercer país más extenso del mundo y el tercero más grande de América Latina. Limita al norte con los Estados Unidos de América a lo largo de una frontera de 3 155 km, mientras que al sur tiene una frontera de 958 km con Guatemala y 276 km con Belice. Las costas del país limitan al oeste con el océano Pacífico y al este con el golfo de México y el mar Caribe, sumando 9 330 km, por lo que es el tercer país americano con mayor longitud de litoral.
México es el undécimo país más poblado del mundo, con una población estimada en más de 126 millones de personas en 2019.8​ La mayoría de ellas tiene como lengua materna el español, al que el estado reconoce como lengua nacional junto a 67 lenguas indígenas propias de la nación, si bien en el país se hablan alrededor de 287 idiomas.​ Estas cifras convierten a México en el país con mayor número de hispanohablantes,​ así como en el séptimo país con mayor diversidad lingüística en el mundo.​
La presencia humana en México se remonta a 14 000 años antes del presente.​ Como fruto de miles de años de desarrollo cultural surgieron en el territorio mexicano las culturas mesoamericanas, aridoamericanas y oasisamericanas. El actual territorio central de México fue el principal y mayor escenario del pueblo mexica y, en parte, del pueblo maya, dos de las civilizaciones más importantes de la América precolombina. Durante 300 años, la totalidad del actual territorio formó parte del Virreinato de Nueva España, con capital en la Ciudad de México, siendo una de las entidades más importantes del Imperio Español en América. Tras la dominación española, Nueva España inició la lucha por su independencia política en 1810, que culminó en 1821. Posteriormente, durante cerca de un siglo el país se vio envuelto en una serie de guerras internas e invasiones extranjeras que tuvieron repercusiones en todos los ámbitos de la vida de los mexicanos. Durante buena parte del siglo XX (principalmente el segundo tercio) tuvo lugar un período de gran crecimiento económico en el marco de una política dominada por un solo partido político.
Según la Organización Mundial del Turismo, México es el principal destino turístico de América Latina y el sexto más visitado en el mundo.​ Esto se debe en gran medida a los 34 sitios culturales o naturales que son considerados por la UNESCO como Patrimonio de la Humanidad, y es en este sentido el primero en el continente y sexto en el mundo.
En términos macroeconómicos, por producto interno bruto (PIB) es la decimocuarta economía mundial y la undécima por paridad del poder adquisitivo (PPA); en escala regional, es la segunda economía de América Latina y la cuarta del continente. Según el informe de 2018 de desarrollo humano de la ONU, tiene un índice de desarrollo humano alto de 0.774, y ocupa el lugar 74º en el mundo.
México también es uno de los países con mayor diversidad de climas en el mundo, considerado uno de los 17 países megadiversos del planeta, es hogar del 10-12% de la biodiversidad mundial y alberga a más de 12 000 especies endémicas.",Lugares
"Un asistente virtual es un agente de software que ayuda a usuarios de sistemas computacionales, automatizando y realizando tareas con la mínima interacción hombre-máquina. La interacción que se da entre un asistente virtual y una persona, debe ser natural, una persona se comunica usando la voz y el asistente virtual lo procesa, interpreta y responde de la misma manera.
A veces el término bot conversacional (en inglés: chatbot) se utiliza para referirse a los asistentes virtuales en general o específicamente a aquellos a los que se accede por chat en línea (o en algunos casos, programas de chat en línea que son para entretenimiento y no para propósitos útiles).
Hacia 2017, las capacidades y el uso de los asistentes virtuales se está expandiendo rápidamente, con nuevos productos entrando al mercado. Una encuesta en línea en mayo de 2017 encontró el más utilizado en los Estados Unidos fueron Siri de Apple (34%), Google Assistant (19%), Amazon Alexa (6%) y Microsoft Cortana (4%). El uso de altavoces inteligentes alimentados por estos asistentes es radicalmente diferente; Apple ni siquiera anunció su altavoz inteligente hasta junio de 2017. El asistente virtual M de Facebook esperaba estar disponible para cientos de millones en Facebook Messenger en 2017. Apple y Google tienen grandes bases instaladas de usuarios en teléfonos inteligentes y Microsoft tiene una gran base instalada de computadoras personales basadas en Windows (donde trabaja Cortana, además de teléfonos y altavoces inteligentes); mientras que Alexa fue el primero en obtener la posibilidad de realizar pedidos de comercio electrónico en línea, desde Amazon.
Un asistente personal inteligente es un agente tipo software que puede realizar tareas u ofrecer servicios a un individuo. Estas tareas o servicios están basados en datos de entrada de usuario, reconocimiento de ubicación y la habilidad de acceder a información de una variedad de recursos en línea (como al clima o al tráfico, noticias, precios de acciones, horario del usuario, precios al por menor, etc). Algunos ejemplos de asistentes personales son Siri de Apple, Braina, Google Assistant, Google Now, Amazon Echo, Microsoft Cortana, S Voice de Samsung, Voice Mate, Silvia y Hidi de HTC. Y Bixby de Samsung. Uno de los aspectos clave de un asistente personal inteligente es su habilidad para organizar y mantener información. Esto incluye el manejo de correos electrónicos, eventos en el calendario, archivos, lista a seguir, etc.
De acuerdo con el inversor de capital de riesgo, Chi-Hua Chien,​ de la firma Kleiner Perkins Caufield & Byers, ejemplos de tareas que pueden ser ejecutadas por inteligentes automatizados agentes personales​ incluyen manejo de agenda (ejemplo: mandar una alerta a alguien que llegará tarde a su cena por un inconveniente de tráfico, actualización de horarios para ambas partes, y cambiar el horario de reservación del restaurante) y un manejador personal de salud (ejemplo: monitorear la ingesta diaria de calorías, el ritmo cardiaco y el régimen de ejercicio, después hacer recomendaciones y dar opciones para mejorar la salud).
La tecnología del asistente personal inteligente es permitida por la combinación de dispositivos móviles, interfaces de programación de aplicaciones (APIs), y la proliferación de aplicaciones móviles. Sin embargo, asistentes personales automatizados son diseñados para realizar tareas que solo son especificadas una vez a través de la voz del usuario mientras que los agentes personales inteligentes realizan tareas en curso (ejemplo: actualización en la agenda o calendario) de forma autónoma.",Objetos
"Un bot de charla o bot conversacional (en inglés, chatbot) es un programa que simula mantener una conversación con una persona al proveer respuestas automáticas a entradas hechas por el usuario. Habitualmente, la conversación se establece mediante texto, aunque también hay modelos que disponen de una interfaz de usuario multimedia. Más recientemente, algunos comienzan a utilizar programas conversores de texto a sonido (CTV), dotándolo de mayor realismo a la interacción con el usuario.
Para establecer una conversación han de utilizarse frases fácilmente comprensibles y que sean coherentes, aunque la mayoría de los bot conversacionales no consiguen comprender del todo. En su lugar, tienen en cuenta las palabras o frases del interlocutor, que les permitirán usar una serie de respuestas preparadas de antemano. De esta manera, el bot es capaz de seguir una conversación con más o menos lógica, pero sin saber realmente de qué está hablando.",Objetos
